,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
352,CORLISS HS,609761.0,Network 13,Overall,Overall,11th Grade,2014.0,15.1,15.1,15.5,13.3,14.8,98,98,98,98,98,50
368,CRANE HS,609702.0,,Overall,Overall,11th Grade,2014.0,14.7,15.3,14.8,12.8,14.4,50,50,50,50,50,28
384,CURIE HS,609756.0,Network 8,Overall,Overall,11th Grade,2014.0,17.6,18.1,18.1,16.9,17.7,624,624,624,624,624,57
395,DEVRY HS,610402.0,Network 4,Overall,Overall,11th Grade,2014.0,21.0,20.6,20.9,21.5,21.0,98,98,98,98,98,5
407,DOUGLASS HS,610245.0,Network 3,Overall,Overall,11th Grade,2014.0,15.6,15.3,15.9,14.1,15.2,59,59,59,59,59,25
423,DUNBAR HS,609676.0,Network 9,Overall,Overall,11th Grade,2014.0,15.0,15.2,15.0,13.8,14.7,262,262,262,262,262,35
438,DYETT HS,609736.0,,Overall,Overall,11th Grade,2014.0,14.6,15.0,14.1,12.6,14.1,24,24,24,24,24,40
441,EPIC HS,400094.0,Charter,Overall,Overall,11th Grade,2014.0,16.1,16.1,17.4,15.5,16.3,110,110,110,110,110,46
457,FARRAGUT HS,609704.0,Network 7,Overall,Overall,11th Grade,2014.0,15.6,16.8,16.0,14.9,15.8,237,237,237,237,237,30
473,FENGER HS,609705.0,Network 13,Overall,Overall,11th Grade,2014.0,14.7,15.0,14.4,13.3,14.4,89,89,89,89,89,49
479,FORD HS,400042.0,,Overall,Overall,11th Grade,2014.0,16.8,16.8,17.1,18.1,17.2,93,93,93,93,93,29
493,FOREMAN HS,609708.0,Network 3,Overall,Overall,11th Grade,2014.0,15.4,16.9,16.9,14.5,15.9,280,281,281,280,280,15
509,GAGE PARK HS,609709.0,Network 8,Overall,Overall,11th Grade,2014.0,15.3,15.6,16.2,15.0,15.5,138,138,138,138,138,63
527,HANCOCK HS,609694.0,Network 8,Overall,Overall,11th Grade,2014.0,17.2,16.8,17.8,16.8,17.2,244,245,244,245,244,62
543,HARLAN HS,609710.0,Network 12,Overall,Overall,11th Grade,2014.0,15.3,15.6,15.8,15.0,15.4,173,173,173,173,173,49
559,HARPER HS,609711.0,Network 11,Overall,Overall,11th Grade,2014.0,13.9,15.0,14.6,12.5,14.0,111,111,110,111,110,67
574,HIRSCH HS,609712.0,Network 12,Overall,Overall,11th Grade,2014.0,14.9,15.3,15.0,12.7,14.5,63,63,63,63,63,69
590,HOPE HS,609768.0,Network 11,Overall,Overall,11th Grade,2014.0,14.7,15.1,15.5,13.5,14.7,93,93,93,93,93,68
606,HUBBARD HS,609741.0,Network 10,Overall,Overall,11th Grade,2014.0,16.6,18.6,17.6,16.4,17.3,440,440,440,440,440,65
622,HYDE PARK HS,609713.0,Network 9,Overall,Overall,11th Grade,2014.0,15.2,15.7,16.0,14.9,15.4,203,203,203,203,203,42
631,INFINITY HS,610384.0,Network 7,Overall,Overall,11th Grade,2014.0,17.3,19.6,18.1,17.2,18.1,101,102,102,101,101,30
635,INSTITUTO - HEALTH,400104.0,Charter,Overall,Overall,11th Grade,2014.0,17.3,17.6,18.3,16.5,17.5,150,150,150,148,148,31
639,INSTITUTO - LOZANO HS,400148.0,Options,Overall,Overall,11th Grade,2014.0,15.4,14.7,14.4,12.5,14.3,27,27,27,27,27,31
642,INSTITUTO - LOZANO MASTERY HS,400164.0,Options,Overall,Overall,11th Grade,2014.0,14.5,15.8,15.5,14.6,15.1,24,24,24,24,24,31
653,JEFFERSON HS,609783.0,Network 11,Overall,Overall,11th Grade,2014.0,,,,,,2,2,2,2,2,28
670,JONES HS,609678.0,ISP,Overall,Overall,11th Grade,2014.0,27.4,26.4,25.4,27.1,26.6,206,206,206,206,206,32
686,JUAREZ HS,609764.0,ISP,Overall,Overall,11th Grade,2014.0,16.1,16.8,16.8,15.8,16.4,391,391,391,383,383,31
702,JULIAN HS,609762.0,Network 13,Overall,Overall,11th Grade,2014.0,15.0,15.4,15.3,14.2,15.0,235,235,235,235,235,73
718,KELLY HS,609715.0,Network 8,Overall,Overall,11th Grade,2014.0,16.1,17.7,16.5,16.5,16.7,545,545,545,545,545,58
734,KELVYN PARK HS,609716.0,Network 4,Overall,Overall,11th Grade,2014.0,15.8,16.0,16.2,15.2,15.8,243,243,243,243,243,20
750,KENNEDY HS,609718.0,Network 10,Overall,Overall,11th Grade,2014.0,18.5,18.5,18.1,18.8,18.5,302,304,304,304,302,56
766,KENWOOD HS,609746.0,Network 9,Overall,Overall,11th Grade,2014.0,19.3,19.5,19.6,19.3,19.4,361,361,361,361,361,39
779,KING HS,609751.0,Network 9,Overall,Overall,11th Grade,2014.0,20.4,19.5,20.4,20.9,20.3,189,189,189,189,189,39
795,LAKE VIEW HS,609719.0,Network 2,Overall,Overall,11th Grade,2014.0,17.8,18.8,18.4,17.4,18.1,344,344,344,344,344,6
811,LANE TECH HS,609720.0,Network 4,Overall,Overall,11th Grade,2014.0,24.5,24.1,23.4,24.2,24.0,"1,096","1,096","1,096","1,096","1,096",5
831,LINCOLN PARK HS,609738.0,ISP,Overall,Overall,11th Grade,2014.0,22.5,21.9,21.4,22.4,22.1,567,567,567,567,567,7
840,LINDBLOM HS,610391.0,Network 11,Overall,Overall,11th Grade,2014.0,22.3,22.8,22.1,23.0,22.6,181,181,181,181,181,67
844,LITTLE BLACK PEARL HS,400137.0,Options,Overall,Overall,11th Grade,2014.0,15.9,14.8,14.9,14.1,14.9,37,37,37,37,37,39
852,MAGIC JOHNSON - N LAWNDALE HS,610566.0,Options,Overall,Overall,11th Grade,2014.0,15.6,15.2,15.8,13.4,15.0,28,28,28,28,28,29
855,MAGIC JOHNSON - ROSELAND HS,610567.0,Options,Overall,Overall,11th Grade,2014.0,14.6,14.6,14.7,12.6,14.1,41,41,41,41,41,43
871,MANLEY HS,609722.0,Network 5,Overall,Overall,11th Grade,2014.0,14.4,15.0,15.1,13.4,14.5,89,89,89,89,89,27
880,MARINE MILITARY HS,610502.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,17.6,17.5,17.9,16.7,17.4,74,74,74,74,74,28
894,MARSHALL HS,609723.0,ISP,Overall,Overall,11th Grade,2014.0,14.2,15.4,14.9,13.9,14.6,156,156,156,156,156,27
910,MATHER HS,609724.0,Network 2,Overall,Overall,11th Grade,2014.0,16.9,17.5,17.3,15.6,16.8,376,376,376,376,376,2
926,MORGAN PARK HS,609725.0,Network 10,Overall,Overall,11th Grade,2014.0,17.7,17.4,17.8,17.5,17.6,256,256,256,256,256,75
935,MULTICULTURAL HS,610385.0,Network 7,Overall,Overall,11th Grade,2014.0,14.9,15.9,15.5,14.4,15.2,73,73,73,73,73,30
941,NOBLE - BULLS HS,400097.0,Charter,Overall,Overall,11th Grade,2014.0,19.6,21.8,20.9,21.4,20.9,190,190,190,190,190,28
948,NOBLE - COMER,400052.0,Charter,Overall,Overall,11th Grade,2014.0,18.7,19.6,20.0,19.8,19.5,143,144,143,144,143,69
957,NOBLE - GOLDER HS,400053.0,Charter,Overall,Overall,11th Grade,2014.0,19.5,21.5,19.9,20.6,20.4,134,134,134,134,134,24
963,NOBLE - JOHNSON HS,400106.0,Charter,Overall,Overall,11th Grade,2014.0,18.5,20.0,19.8,20.9,19.8,148,148,148,148,148,68
968,NOBLE - MUCHIN HS,400098.0,Charter,Overall,Overall,11th Grade,2014.0,20.4,22.1,20.7,22.2,21.3,189,189,189,189,189,32
983,NOBLE - NOBLE HS,400051.0,Charter,Overall,Overall,11th Grade,2014.0,18.6,21.0,19.8,19.8,19.8,152,152,152,152,152,24
991,NOBLE - PRITZKER HS,400054.0,Charter,Overall,Overall,11th Grade,2014.0,20.1,22.5,21.5,21.9,21.5,199,199,199,199,199,20
999,NOBLE - RAUNER HS,400055.0,Charter,Overall,Overall,11th Grade,2014.0,19.0,21.7,19.3,20.3,20.1,151,151,151,151,151,24
1006,NOBLE - ROWE CLARK HS,400056.0,Charter,Overall,Overall,11th Grade,2014.0,18.3,19.9,18.6,19.5,19.1,145,145,145,145,145,23
1012,NOBLE - UIC HS,400057.0,Charter,Overall,Overall,11th Grade,2014.0,21.6,24.9,22.4,22.3,22.8,191,191,191,191,191,28
1028,NORTH LAWNDALE - CHRISTIANA HS,400058.0,Charter,Overall,Overall,11th Grade,2014.0,15.7,16.8,16.0,15.2,15.9,81,81,81,81,81,29
1035,NORTH LAWNDALE - COLLINS HS,400059.0,Charter,Overall,Overall,11th Grade,2014.0,15.9,16.7,16.7,15.0,16.1,81,81,81,81,81,29
1045,NORTH-GRAND HS,609691.0,Network 5,Overall,Overall,11th Grade,2014.0,16.1,17.0,17.1,15.2,16.3,204,204,204,204,204,23
1061,NORTHSIDE PREP HS,609749.0,Network 1,Overall,Overall,11th Grade,2014.0,29.8,28.3,28.1,30.1,29.1,265,265,265,265,265,13
1066,OGDEN HS,610529.0,Network 6,Overall,Overall,11th Grade,2014.0,18.5,17.7,18.8,18.7,18.4,126,126,126,126,126,24
1069,OMBUDSMAN - NORTHWEST HS,610569.0,Options,Overall,Overall,11th Grade,2014.0,20.9,16.5,19.0,18.2,18.7,10,10,10,10,10,66
1074,OMBUDSMAN - WEST HS,610571.0,Options,Overall,Overall,11th Grade,2014.0,13.8,14.8,14.3,11.9,13.7,43,43,43,43,43,3
1086,ORR HS,610389.0,AUSL,Overall,Overall,11th Grade,2014.0,14.6,15.8,14.8,13.8,14.8,102,102,102,102,102,23
1091,PATHWAYS - ASHBURN HS,610557.0,Options,Overall,Overall,11th Grade,2014.0,15.7,15.2,14.9,13.5,14.9,113,113,113,113,113,70
1094,PATHWAYS - AVONDALE HS,610568.0,Options,Overall,Overall,11th Grade,2014.0,15.1,15.3,14.8,13.4,14.7,89,89,89,89,89,21
1110,PAYTON HS,609680.0,ISP,Overall,Overall,11th Grade,2014.0,29.9,28.2,27.9,30.5,29.1,229,229,229,229,229,8
1125,PEACE AND EDUCATION HS,610386.0,Network 6,Overall,Overall,11th Grade,2014.0,14.3,15.1,14.6,12.3,14.1,51,51,51,51,51,61
1140,PERSPECTIVES - JOSLIN HS,400064.0,Charter,Overall,Overall,11th Grade,2014.0,19.7,19.0,19.1,20.5,19.6,48,48,48,48,48,33
1148,PERSPECTIVES - LEADERSHIP HS,400061.0,Charter,Overall,Overall,11th Grade,2014.0,16.4,16.5,16.8,17.0,16.6,111,111,111,111,111,71
1154,PERSPECTIVES - MATH & SCI HS,400066.0,Charter,Overall,Overall,11th Grade,2014.0,17.6,17.9,17.5,17.3,17.6,80,80,80,80,80,35
1162,PERSPECTIVES - TECH HS,400062.0,Charter,Overall,Overall,11th Grade,2014.0,16.8,16.4,17.1,16.1,16.6,112,112,112,112,112,71
1178,PHILLIPS HS,609727.0,AUSL,Overall,Overall,11th Grade,2014.0,14.7,15.4,15.3,13.2,14.7,118,119,118,119,118,35
1192,PHOENIX MILITARY HS,610304.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,18.7,19.0,19.0,20.3,19.3,88,88,88,88,88,28
1201,PROLOGUE - EARLY COLLEGE HS,400070.0,Options,Overall,Overall,11th Grade,2014.0,15.0,15.2,14.6,13.5,14.6,20,20,20,20,20,24
1207,PROLOGUE - JOHNSTON HS,400109.0,Options,Overall,Overall,11th Grade,2014.0,14.0,14.5,14.1,12.0,13.6,44,44,44,44,44,73
1210,PROLOGUE - WINNIE MANDELA HS,610574.0,Options,Overall,Overall,11th Grade,2014.0,14.1,14.4,13.7,12.2,13.6,29,29,29,29,29,43
1226,PROSSER HS,609679.0,Network 3,Overall,Overall,11th Grade,2014.0,18.5,18.7,18.6,18.4,18.6,310,310,310,310,310,19
1236,RABY HS,610334.0,Network 5,Overall,Overall,11th Grade,2014.0,14.7,15.5,15.4,13.5,14.8,102,102,102,102,102,27
1252,RICHARDS HS,609682.0,Network 8,Overall,Overall,11th Grade,2014.0,14.3,15.7,14.9,13.7,14.7,88,88,88,88,88,61
1261,RICKOVER MILITARY HS,610390.0,Service Leadership Academies,Overall,Overall,11th Grade,2014.0,19.9,18.2,18.8,19.0,19.0,95,95,95,95,95,77
1277,ROBESON HS,609707.0,Network 11,Overall,Overall,11th Grade,2014.0,14.0,14.8,14.1,13.5,14.1,88,88,88,88,88,68
1293,ROOSEVELT HS,609728.0,Network 1,Overall,Overall,11th Grade,2014.0,15.6,16.2,15.8,14.6,15.6,323,323,323,323,323,14
1309,SCHURZ HS,609729.0,Network 1,Overall,Overall,11th Grade,2014.0,16.1,16.8,16.5,15.5,16.2,489,489,489,489,489,16
1325,SENN HS,609730.0,Network 2,Overall,Overall,11th Grade,2014.0,18.5,18.4,18.7,18.0,18.4,237,238,238,237,237,77
1334,SHABAZZ - DUSABLE HS,400073.0,Charter,Overall,Overall,11th Grade,2014.0,14.5,15.5,15.1,13.2,14.6,78,78,78,78,78,38
1349,SIMEON HS,609692.0,Network 11,Overall,Overall,11th Grade,2014.0,16.6,16.9,17.0,16.6,16.8,307,307,307,307,307,44
1365,SIMPSON HS,609750.0,Network 6,Overall,Overall,11th Grade,2014.0,14.9,16.9,16.6,14.6,15.7,14,14,14,14,14,28
1374,SOCIAL JUSTICE HS,610383.0,Network 7,Overall,Overall,11th Grade,2014.0,16.3,16.4,16.9,15.5,16.3,92,92,92,92,92,30
1378,SOLORIO HS,610543.0,AUSL,Overall,Overall,11th Grade,2014.0,16.4,18.3,17.1,15.5,16.8,240,242,242,240,240,63
1383,SOUTH SHORE INTL HS,610547.0,Network 12,Overall,Overall,11th Grade,2014.0,16.0,16.0,16.2,16.1,16.1,238,238,238,238,238,43
1393,SPRY HS,610357.0,Network 7,Overall,Overall,11th Grade,2014.0,16.6,17.2,16.9,16.2,16.7,55,55,55,55,55,30
1409,STEINMETZ HS,609732.0,Network 3,Overall,Overall,11th Grade,2014.0,16.6,17.2,17.6,15.3,16.7,407,407,407,407,407,19
1425,SULLIVAN HS,609733.0,Network 2,Overall,Overall,11th Grade,2014.0,15.8,16.7,15.8,14.1,15.6,155,155,155,155,155,1
1441,TAFT HS,609734.0,Network 1,Overall,Overall,11th Grade,2014.0,19.0,18.9,19.1,18.9,19.0,630,630,630,630,630,10
1448,TEAM HS,610506.0,Network 11,Overall,Overall,11th Grade,2014.0,14.4,15.3,15.5,13.6,14.7,91,91,91,91,91,68
1464,TILDEN HS,609735.0,Network 8,Overall,Overall,11th Grade,2014.0,15.0,15.2,14.7,13.4,14.6,98,99,98,99,98,61
1472,U OF C - WOODLAWN HS,400077.0,Charter,Overall,Overall,11th Grade,2014.0,17.9,17.3,17.7,18.4,17.8,53,53,53,53,53,42
1480,UNO - GARCIA HS,400085.0,Charter,Overall,Overall,11th Grade,2014.0,17.0,17.5,18.2,17.5,17.5,151,151,151,151,151,57
1491,UPLIFT HS,610394.0,Network 2,Overall,Overall,11th Grade,2014.0,16.6,16.9,16.6,16.5,16.6,78,78,78,78,78,3
1495,URBAN PREP - BRONZEVILLE HS,400105.0,Charter,Overall,Overall,11th Grade,2014.0,17.6,16.9,17.6,17.6,17.4,109,109,109,109,109,35
1503,URBAN PREP - ENGLEWOOD HS,400086.0,Charter,Overall,Overall,11th Grade,2014.0,16.9,16.8,17.2,16.6,16.9,90,90,90,90,90,68
1508,URBAN PREP - WEST HS,400102.0,Charter,Overall,Overall,11th Grade,2014.0,16.7,17.1,16.8,16.8,16.8,94,94,94,94,94,28
1514,VOISE HS,610518.0,Network 3,Overall,Overall,11th Grade,2014.0,15.5,15.8,16.1,14.1,15.4,78,78,78,78,78,25
1530,VON STEUBEN HS,609737.0,Network 1,Overall,Overall,11th Grade,2014.0,19.3,19.7,19.7,19.6,19.6,413,413,413,413,413,13
1546,WASHINGTON HS,609739.0,Network 13,Overall,Overall,11th Grade,2014.0,17.1,16.7,17.2,16.2,16.8,343,344,344,343,343,52
1562,WELLS HS,609740.0,Network 6,Overall,Overall,11th Grade,2014.0,15.7,16.6,15.5,14.4,15.5,109,109,109,109,109,24
1573,WESTINGHOUSE HS,609693.0,Network 5,Overall,Overall,11th Grade,2014.0,20.5,20.9,20.4,20.7,20.6,240,240,240,240,240,23
1580,WILLIAMS HS,610380.0,Network 9,Overall,Overall,11th Grade,2014.0,16.3,17.4,17.7,17.4,17.2,81,81,81,81,81,38
1589,WORLD LANGUAGE HS,610392.0,Network 7,Overall,Overall,11th Grade,2014.0,15.9,16.4,16.9,17.8,16.7,75,75,75,75,75,30
1593,YCCS - ADDAMS,400134.0,Options,Overall,Overall,11th Grade,2014.0,16.3,16.1,15.4,13.8,15.4,62,62,62,62,62,31
1596,YCCS - ASPIRA PANTOJA,400125.0,Options,Overall,Overall,11th Grade,2014.0,15.6,15.5,14.9,12.8,14.7,58,58,58,58,58,21
1600,YCCS - ASSOCIATION HOUSE,400126.0,Options,Overall,Overall,11th Grade,2014.0,15.4,15.4,15.3,13.3,14.9,79,80,79,80,79,23
1604,YCCS - AUSTIN CAREER,400127.0,Options,Overall,Overall,11th Grade,2014.0,13.9,14.7,13.5,12.1,13.5,57,57,57,57,57,25
1608,YCCS - CAMPOS,400131.0,Options,Overall,Overall,11th Grade,2014.0,14.9,15.1,14.9,12.7,14.4,77,77,77,77,77,24
1612,YCCS - CCA ACADEMY,400128.0,Options,Overall,Overall,11th Grade,2014.0,13.9,14.6,14.1,11.3,13.5,40,40,40,40,40,29
1616,YCCS - CHATHAM,400150.0,Options,Overall,Overall,11th Grade,2014.0,13.7,14.5,15.8,12.1,14.1,46,49,46,49,46,44
1620,YCCS - HOUSTON,400129.0,Options,Overall,Overall,11th Grade,2014.0,14.1,16.1,13.8,13.5,14.4,19,19,19,19,19,38
1624,YCCS - INNOVATIONS,400133.0,Options,Overall,Overall,11th Grade,2014.0,14.9,15.5,14.8,13.7,14.7,59,59,59,59,59,37
1628,YCCS - LATINO YOUTH,400135.0,Options,Overall,Overall,11th Grade,2014.0,15.1,15.2,15.3,13.5,14.8,90,90,90,90,90,30
1632,YCCS - MCKINLEY,400124.0,Options,Overall,Overall,11th Grade,2014.0,14.1,14.9,14.1,11.6,13.7,44,44,44,44,44,35
1636,YCCS - OLIVE HARVEY,400136.0,Options,Overall,Overall,11th Grade,2014.0,14.5,15.0,14.5,13.2,14.3,42,42,42,42,42,50
1639,YCCS - SCHOLASTIC ACHIEVEMENT,400123.0,Options,Overall,Overall,11th Grade,2014.0,14.6,15.0,13.4,12.4,13.8,40,40,40,40,40,25
1643,YCCS - SULLIVAN,400139.0,Options,Overall,Overall,11th Grade,2014.0,13.1,14.6,13.7,11.8,13.3,121,121,121,121,121,45
1646,YCCS - TRUMAN,400141.0,Options,Overall,Overall,11th Grade,2014.0,16.8,16.5,15.7,14.5,15.9,54,54,54,54,54,3
1650,YCCS - VIRTUAL,400142.0,Options,Overall,Overall,11th Grade,2014.0,15.1,14.8,14.0,13.3,14.3,37,37,37,37,37,28
1653,YCCS - WEST TOWN,400143.0,Options,Overall,Overall,11th Grade,2014.0,14.6,15.1,14.1,12.9,14.2,73,73,73,73,73,23
1657,YCCS - WESTSIDE HOLISTIC,400144.0,Options,Overall,Overall,11th Grade,2014.0,14.4,15.3,15.3,12.5,14.4,55,55,55,55,55,25
1661,YCCS - YOUTH CONNECTION,400145.0,Options,Overall,Overall,11th Grade,2014.0,14.8,15.3,14.8,13.5,14.6,76,76,76,76,76,35
1665,YCCS - YOUTH DEVELOPMENT,400130.0,Options,Overall,Overall,11th Grade,2014.0,13.2,14.7,14.5,11.1,13.4,41,41,41,41,41,71
1681,YOUNG HS,609755.0,ISP,Overall,Overall,11th Grade,2014.0,27.4,26.8,26.0,27.5,26.9,472,472,472,472,472,28
1695,YOUNG WOMENS HS,400087.0,Charter,Overall,Overall,11th Grade,2014.0,16.4,16.8,16.2,16.0,16.4,47,47,47,47,47,35
1731,ACE TECH HS,400010.0,Charter,Race,Hispanic,11th Grade,2014.0,16.4,18.0,17.6,14.5,16.6,22,22,22,22,22,40
1732,ACE TECH HS,400010.0,Charter,Race,White,11th Grade,2014.0,,,,,,1,1,1,1,1,40
1733,ACE TECH HS,400010.0,Charter,Race,Black,11th Grade,2014.0,14.9,15.4,15.2,13.6,14.8,67,67,67,67,67,40
1751,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Hispanic,11th Grade,2014.0,17.5,17.3,18.0,17.1,17.5,40,40,40,40,40,34
1752,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Other,11th Grade,2014.0,,,,,,2,2,2,2,2,34
1753,AIR FORCE HS,610513.0,Service Leadership Academies,Race,White,11th Grade,2014.0,21.0,18.2,19.8,21.3,20.1,13,13,13,13,13,34
1754,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Black,11th Grade,2014.0,18.0,17.0,18.5,19.2,18.2,38,38,38,38,38,34
1755,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Asian / Pacific,11th Grade,2014.0,,,,,,8,8,8,8,8,34
1775,ALCOTT HS,610524.0,Network 4,Race,Other,11th Grade,2014.0,,,,,,1,1,1,1,1,5
1776,ALCOTT HS,610524.0,Network 4,Race,Asian / Pacific,11th Grade,2014.0,,,,,,2,2,2,2,2,5
1777,ALCOTT HS,610524.0,Network 4,Race,Hispanic,11th Grade,2014.0,17.5,18.6,18.9,17.6,18.1,24,24,24,24,24,5
1778,ALCOTT HS,610524.0,Network 4,Race,White,11th Grade,2014.0,,,,,,7,7,7,7,7,5
1779,ALCOTT HS,610524.0,Network 4,Race,Black,11th Grade,2014.0,15.3,16.2,15.9,15.7,15.8,16,16,16,16,16,5
1855,AMUNDSEN HS,609695.0,Network 2,Race,Hispanic,11th Grade,2014.0,17.0,17.3,16.9,16.2,16.8,160,160,160,160,160,4
1856,AMUNDSEN HS,609695.0,Network 2,Race,Black,11th Grade,2014.0,15.5,15.4,15.8,14.5,15.3,26,26,26,26,26,4
1857,AMUNDSEN HS,609695.0,Network 2,Race,Asian / Pacific,11th Grade,2014.0,16.7,18.1,18.6,17.0,17.6,44,44,44,44,44,4
1858,AMUNDSEN HS,609695.0,Network 2,Race,White,11th Grade,2014.0,19.0,17.5,19.4,18.0,18.5,31,31,31,31,31,4
