SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-03284112,07/08/2015,Rear,,Open,THE REAR DOOR AND SOME WINDOWS ARE OPEN,Vacant,False,False,5923,S,JUSTINE,ST,60636.0,1167020.44128109,1865445.89596577,16.0,7.0,67.0,41.78634190832608,-87.66315918494209,"(41.78634190832608, -87.6631591849421)",2015-07-08
Vacant/Abandoned Building,15-03751772,07/31/2015,Rear,,Open,,Vacant,False,False,5412,S,HERMITAGE,AVE,60609.0,1165599.79967434,1868805.28719052,16.0,9.0,61.0,41.795590760447816,-87.66827270449778,"(41.795590760447816, -87.66827270449778)",2015-07-31
Vacant/Abandoned Building,15-03684515,07/28/2015,Front,,Open,FRONT DOOR,Vacant,False,False,9718,S,DOBSON,AVE,60628.0,1184923.19947981,1840772.47051899,8.0,5.0,50.0,41.718233869498725,-87.59829203173594,"(41.718233869498725, -87.59829203173594)",2015-07-28
Vacant/Abandoned Building,15-03750434,07/31/2015,,,,,,,,6651,S,MOZART,ST,60629.0,1158523.40006677,1860406.49770651,17.0,8.0,66.0,41.77269059952621,-87.69445110433867,"(41.7726905995262, -87.69445110433865)",2015-07-31
Vacant/Abandoned Building,15-03613919,07/24/2015,Front,,Open,FRONT,Vacant,False,True,6934,S,ROCKWELL,ST,60629.0,1160240.12740792,1858492.26951698,17.0,8.0,66.0,41.76740251316857,-87.68821063803594,"(41.76740251316857, -87.68821063803593)",2015-07-24
Vacant/Abandoned Building,15-03639334,07/25/2015,Front,,Boarded,,Vacant,False,False,6830,S,LOOMIS,BLVD,60636.0,1168174.70039041,1859459.74549969,17.0,7.0,67.0,41.76989040087064,-87.65909916854757,"(41.76989040087064, -87.65909916854758)",2015-07-25
Vacant/Abandoned Building,15-03467098,07/17/2015,Front,,Open,,Vacant,True,False,7840,S,LAFLIN,ST,60620.0,1167476.31292359,1852739.20558525,17.0,6.0,71.0,41.75146333270872,-87.66185145279455,"(41.751463332708724, -87.66185145279454)",2015-07-17
Vacant/Abandoned Building,15-03521929,07/20/2015,Rear,,Open,REAR DOOR,Vacant,False,True,6745,S,ARTESIAN,AVE,60629.0,1161203.57923278,1859858.04510125,17.0,8.0,66.0,41.7711305121675,-87.68464139650801,"(41.7711305121675, -87.684641396508)",2015-07-20
Vacant/Abandoned Building,15-03390626,07/14/2015,Garage,,Open,,Vacant,True,False,5346,S,JUSTINE,ST,60609.0,1166912.55788658,1869272.38027545,16.0,9.0,61.0,41.796844548623454,-87.66344541996064,"(41.796844548623454, -87.66344541996064)",2015-07-14
Vacant/Abandoned Building,15-03360516,07/12/2015,Front,,Open,FRONT AND REAR,Vacant,False,True,6314,S,FRANCISCO,AVE,60629.0,1158132.51639938,1862638.11912222,17.0,8.0,66.0,41.7788224530002,-87.69582334593157,"(41.778822453000195, -87.69582334593157)",2015-07-12
