SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00094107,01/20/2011,Rear,,Open,PEOPLE IN OUT,Vacant,True,True,3435,W,66TH,ST,60629.0,1154631.1077039,1860644.0202169998,15.0,8.0,66.0,41.77342085673719,-87.70871300718241,"(41.77342085673719, -87.70871300718241)",2011-01-20,66
Vacant/Abandoned Building,11-00094168,01/20/2011,Front,,Open,FRONT AND AROUND THE BUILDING,Vacant,False,True,6457,S,CARPENTER,ST,60621.0,1170423.16743261,1861993.54791438,16.0,7.0,68.0,41.77679479924552,-87.65078354918644,"(41.77679479924552, -87.65078354918644)",2011-01-20,68
Vacant/Abandoned Building,11-00094243,01/20/2011,Front,,Open,"FRONT,REAR AND GARAGE",Vacant,False,False,5518,S,HONORE,ST,60636.0,1164962.25990611,1867974.97323263,15.0,7.0,67.0,41.79332578790615,-87.67063406254654,"(41.79332578790615, -87.67063406254655)",2011-01-20,67
Vacant/Abandoned Building,11-00098572,01/21/2011,,,,,,,,5249,S,WOOD,ST,60609.0,1165237.42902458,1869882.86467857,16.0,9.0,61.0,41.79855544895035,-87.6695710213464,"(41.79855544895035, -87.6695710213464)",2011-01-21,61
Vacant/Abandoned Building,11-00094525,01/20/2011,Front,,Open,REAR,Vacant,False,False,7755,S,MARSHFIELD,AVE,60620.0,1166690.31851722,1853281.3575265,17.0,6.0,71.0,41.75296787058355,-87.66471631096044,"(41.752967870583554, -87.66471631096044)",2011-01-20,71
Vacant/Abandoned Building,11-00094586,01/20/2011,Rear,,Open,BACK DOOR,Vacant,True,True,6304,S,FAIRFIELD,AVE,60629.0,1159127.27707948,1862731.23838402,15.0,8.0,66.0,41.77905769045167,-87.6921739031512,"(41.77905769045167, -87.69217390315121)",2011-01-20,66
Vacant/Abandoned Building,11-00094673,01/20/2011,Rear,,Open,BACK DOOR,Vacant,True,True,6310,S,FAIRFIELD,AVE,,1159128.37707948,1862689.43838402,15.0,8.0,66.0,41.7789429628045,-87.69217101300913,"(41.7789429628045, -87.69217101300912)",2011-01-20,66
Vacant/Abandoned Building,11-00094790,01/20/2011,,,,,,,,4226,S,WESTERN,AVE,60609.0,1161071.68999298,1876585.29991632,12.0,9.0,58.0,41.817035018794044,-87.68466219054285,"(41.81703501879405, -87.68466219054284)",2011-01-20,58
Vacant/Abandoned Building,11-00094847,01/20/2011,Rear,,Open,BACK DOOR,Vacant,True,True,6310,S,FAIRFIELD,AVE,60629.0,1159128.37707948,1862689.43838402,15.0,8.0,66.0,41.7789429628045,-87.69217101300913,"(41.7789429628045, -87.69217101300912)",2011-01-20,66
Vacant/Abandoned Building,11-00094887,01/20/2011,Front,,Open,FRONT,Vacant,False,False,7220,S,UNIVERSITY,AVE,60619.0,1185130.68006788,1857371.59076577,5.0,3.0,69.0,41.763778744737145,-87.59701192573071,"(41.76377874473715, -87.5970119257307)",2011-01-20,69
