,route,date,daytype,rides
634379,111A,2015-01-29,W,140
634380,111A,2015-01-30,W,234
634381,111A,2015-01-31,A,234
634382,112,2015-01-01,U,551
634383,112,2015-01-02,W,1314
634384,112,2015-01-03,A,957
634385,112,2015-01-04,U,703
634386,112,2015-01-05,W,1955
634387,112,2015-01-06,W,2113
634388,112,2015-01-07,W,949
634389,112,2015-01-08,W,1136
634390,112,2015-01-09,W,1880
634391,112,2015-01-10,A,975
634392,112,2015-01-11,U,747
634393,112,2015-01-12,W,2670
634394,112,2015-01-13,W,2545
634395,112,2015-01-14,W,2607
634396,112,2015-01-15,W,2546
634397,112,2015-01-16,W,2349
634398,112,2015-01-17,A,1110
634399,112,2015-01-18,U,774
634400,112,2015-01-19,W,1220
634401,112,2015-01-20,W,2604
634402,112,2015-01-21,W,2438
634403,112,2015-01-22,W,2604
634404,112,2015-01-23,W,2507
634405,112,2015-01-24,A,1141
634406,112,2015-01-25,U,699
634407,112,2015-01-26,W,2502
634408,112,2015-01-27,W,2915
634409,112,2015-01-28,W,2751
634410,112,2015-01-29,W,2418
634411,112,2015-01-30,W,2453
634412,112,2015-01-31,A,1286
634413,115,2015-01-01,U,1427
634414,115,2015-01-02,W,2660
634415,115,2015-01-03,A,1838
634416,115,2015-01-04,U,1597
634417,115,2015-01-05,W,3602
634418,115,2015-01-06,W,3605
634419,115,2015-01-07,W,1863
634420,115,2015-01-08,W,2147
634421,115,2015-01-09,W,3399
634422,115,2015-01-10,A,1911
634423,115,2015-01-11,U,1689
634424,115,2015-01-12,W,4638
634425,115,2015-01-13,W,4203
634426,115,2015-01-14,W,4005
634427,115,2015-01-15,W,4208
634428,115,2015-01-16,W,4111
634429,115,2015-01-17,A,2395
634430,115,2015-01-18,U,1850
634431,115,2015-01-19,W,2265
634432,115,2015-01-20,W,4310
634433,115,2015-01-21,W,4387
634434,115,2015-01-22,W,4483
634435,115,2015-01-23,W,4275
634436,115,2015-01-24,A,2429
634437,115,2015-01-25,U,1494
634438,115,2015-01-26,W,4193
634439,115,2015-01-27,W,4456
634440,115,2015-01-28,W,4348
634441,115,2015-01-29,W,4521
634442,115,2015-01-30,W,4598
634443,115,2015-01-31,A,2306
634444,119,2015-01-01,U,1980
634445,119,2015-01-02,W,3777
634446,119,2015-01-03,A,3214
634447,119,2015-01-04,U,2323
634448,119,2015-01-05,W,3983
634449,119,2015-01-06,W,3845
634450,119,2015-01-07,W,2574
634451,119,2015-01-08,W,2635
634452,119,2015-01-09,W,3785
634453,119,2015-01-10,A,2836
634454,119,2015-01-11,U,2425
634455,119,2015-01-12,W,4421
634456,119,2015-01-13,W,4827
634457,119,2015-01-14,W,4675
634458,119,2015-01-15,W,4770
634459,119,2015-01-16,W,4786
634460,119,2015-01-17,A,3308
634461,119,2015-01-18,U,2364
634462,119,2015-01-19,W,3373
634463,119,2015-01-20,W,4808
634464,119,2015-01-21,W,4929
634465,119,2015-01-22,W,4913
634466,119,2015-01-23,W,4825
634467,119,2015-01-24,A,3448
634468,119,2015-01-25,U,2300
634469,119,2015-01-26,W,4457
634470,119,2015-01-27,W,4843
634471,119,2015-01-28,W,4830
634472,119,2015-01-29,W,4983
634473,119,2015-01-30,W,5224
634474,119,2015-01-31,A,3935
634475,12,2015-01-01,U,5322
634476,12,2015-01-02,W,10683
634477,12,2015-01-03,A,6322
634478,12,2015-01-04,U,5848
634479,12,2015-01-05,W,11888
634480,12,2015-01-06,W,12267
634481,12,2015-01-07,W,7949
634482,12,2015-01-08,W,8325
634483,12,2015-01-09,W,11370
634484,12,2015-01-10,A,6735
634485,12,2015-01-11,U,6419
634486,12,2015-01-12,W,14034
634487,12,2015-01-13,W,14489
634488,12,2015-01-14,W,13942
634489,12,2015-01-15,W,15189
634490,12,2015-01-16,W,16109
634491,12,2015-01-17,A,8942
634492,12,2015-01-18,U,7090
634493,12,2015-01-19,W,9214
634494,12,2015-01-20,W,15730
634495,12,2015-01-21,W,14905
634496,12,2015-01-22,W,14752
634497,12,2015-01-23,W,15126
634498,12,2015-01-24,A,9072
634499,12,2015-01-25,U,6464
634500,12,2015-01-26,W,14691
634501,12,2015-01-27,W,15203
634502,12,2015-01-28,W,14140
634503,12,2015-01-29,W,14726
634504,12,2015-01-30,W,16099
634505,12,2015-01-31,A,9005
634506,120,2015-01-02,W,409
634507,120,2015-01-05,W,1285
634508,120,2015-01-06,W,1401
634509,120,2015-01-07,W,1056
634510,120,2015-01-08,W,1404
634511,120,2015-01-09,W,1170
634512,120,2015-01-12,W,1322
634513,120,2015-01-13,W,1307
634514,120,2015-01-14,W,1183
634515,120,2015-01-15,W,1130
634516,120,2015-01-16,W,919
634517,120,2015-01-19,W,565
634518,120,2015-01-20,W,1206
634519,120,2015-01-21,W,1230
634520,120,2015-01-22,W,1175
634521,120,2015-01-23,W,1037
634522,120,2015-01-26,W,1165
634523,120,2015-01-27,W,1128
634524,120,2015-01-28,W,1199
634525,120,2015-01-29,W,1214
634526,120,2015-01-30,W,1138
634527,121,2015-01-02,W,614
634528,121,2015-01-05,W,1704
634529,121,2015-01-06,W,1904
634530,121,2015-01-07,W,1434
634531,121,2015-01-08,W,1560
634532,121,2015-01-09,W,1353
634533,121,2015-01-12,W,1765
634534,121,2015-01-13,W,1625
634535,121,2015-01-14,W,1662
634536,121,2015-01-15,W,1625
634537,121,2015-01-16,W,1543
634538,121,2015-01-19,W,730
634539,121,2015-01-20,W,1730
634540,121,2015-01-21,W,1751
634541,121,2015-01-22,W,1514
634542,121,2015-01-23,W,1381
634543,121,2015-01-26,W,1750
634544,121,2015-01-27,W,1689
634545,121,2015-01-28,W,1663
634546,121,2015-01-29,W,1708
634547,121,2015-01-30,W,1398
634548,124,2015-01-01,U,892
634549,124,2015-01-02,W,849
634550,124,2015-01-03,A,666
634551,124,2015-01-04,U,434
634552,124,2015-01-05,W,809
634553,124,2015-01-06,W,857
634554,124,2015-01-07,W,622
634555,124,2015-01-08,W,899
634556,124,2015-01-09,W,844
634557,124,2015-01-10,A,504
634558,124,2015-01-11,U,315
634559,124,2015-01-12,W,777
634560,124,2015-01-13,W,786
634561,124,2015-01-14,W,787
634562,124,2015-01-15,W,861
634563,124,2015-01-16,W,874
634564,124,2015-01-17,A,910
634565,124,2015-01-18,U,366
634566,124,2015-01-19,W,559
634567,124,2015-01-20,W,823
634568,124,2015-01-21,W,852
634569,124,2015-01-22,W,717
634570,124,2015-01-23,W,716
634571,124,2015-01-24,A,749
634572,124,2015-01-25,U,297
634573,124,2015-01-26,W,809
634574,124,2015-01-27,W,672
634575,124,2015-01-28,W,778
634576,124,2015-01-29,W,805
634577,124,2015-01-30,W,707
634578,124,2015-01-31,A,700
634579,125,2015-01-02,W,717
634580,125,2015-01-05,W,1746
634581,125,2015-01-06,W,1736
634582,125,2015-01-07,W,1418
634583,125,2015-01-08,W,1508
634584,125,2015-01-09,W,1469
634585,125,2015-01-12,W,1729
634586,125,2015-01-13,W,1695
634587,125,2015-01-14,W,1764
634588,125,2015-01-15,W,1680
634589,125,2015-01-16,W,1416
634590,125,2015-01-19,W,848
634591,125,2015-01-20,W,1814
634592,125,2015-01-21,W,1712
634593,125,2015-01-22,W,1670
634594,125,2015-01-23,W,1485
634595,125,2015-01-26,W,1696
634596,125,2015-01-27,W,1763
634597,125,2015-01-28,W,1565
634598,125,2015-01-29,W,1629
634599,125,2015-01-30,W,1455
634600,126,2015-01-01,U,1840
634601,126,2015-01-02,W,3819
634602,126,2015-01-03,A,2196
634603,126,2015-01-04,U,1921
634604,126,2015-01-05,W,5149
634605,126,2015-01-06,W,5685
634606,126,2015-01-07,W,3440
634607,126,2015-01-08,W,3677
634608,126,2015-01-09,W,4992
634609,126,2015-01-10,A,2448
634610,126,2015-01-11,U,1950
634611,126,2015-01-12,W,6627
634612,126,2015-01-13,W,6660
634613,126,2015-01-14,W,6994
634614,126,2015-01-15,W,6856
634615,126,2015-01-16,W,6171
634616,126,2015-01-17,A,3307
634617,126,2015-01-18,U,2201
634618,126,2015-01-19,W,3393
634619,126,2015-01-20,W,6943
634620,126,2015-01-21,W,6921
634621,126,2015-01-22,W,6718
634622,126,2015-01-23,W,6376
634623,126,2015-01-24,A,3225
634624,126,2015-01-25,U,2044
634625,126,2015-01-26,W,6753
634626,126,2015-01-27,W,7158
634627,126,2015-01-28,W,7046
634628,126,2015-01-29,W,6750
634629,126,2015-01-30,W,6450
634630,126,2015-01-31,A,3180
634631,132,2015-01-02,W,73
634632,132,2015-01-05,W,310
634633,132,2015-01-06,W,359
634634,132,2015-01-07,W,199
634635,132,2015-01-08,W,242
634636,132,2015-01-09,W,246
634637,132,2015-01-12,W,330
634638,132,2015-01-13,W,304
634639,132,2015-01-14,W,296
634640,132,2015-01-15,W,291
634641,132,2015-01-16,W,245
634642,132,2015-01-19,W,167
634643,132,2015-01-20,W,323
634644,132,2015-01-21,W,301
634645,132,2015-01-22,W,293
634646,132,2015-01-23,W,238
634647,132,2015-01-26,W,297
634648,132,2015-01-27,W,324
634649,132,2015-01-28,W,280
634650,132,2015-01-29,W,305
634651,132,2015-01-30,W,226
634652,134,2015-01-02,W,1431
634653,134,2015-01-05,W,3826
634654,134,2015-01-06,W,3692
634655,134,2015-01-07,W,3030
634656,134,2015-01-08,W,3057
634657,134,2015-01-09,W,3206
634658,134,2015-01-12,W,3656
634659,134,2015-01-13,W,3856
634660,134,2015-01-14,W,3691
634661,134,2015-01-15,W,3627
634662,134,2015-01-16,W,3455
634663,134,2015-01-19,W,1669
634664,134,2015-01-20,W,3561
634665,134,2015-01-21,W,3590
634666,134,2015-01-22,W,3811
634667,134,2015-01-23,W,3193
634668,134,2015-01-26,W,3428
634669,134,2015-01-27,W,3714
634670,134,2015-01-28,W,3553
634671,134,2015-01-29,W,3321
634672,134,2015-01-30,W,3163
634673,135,2015-01-02,W,1615
634674,135,2015-01-05,W,3753
634675,135,2015-01-06,W,3751
634676,135,2015-01-07,W,3153
634677,135,2015-01-08,W,3279
634678,135,2015-01-09,W,3495
634679,135,2015-01-12,W,3777
634680,135,2015-01-13,W,3718
634681,135,2015-01-14,W,3599
634682,135,2015-01-15,W,3568
634683,135,2015-01-16,W,3502
634684,135,2015-01-19,W,2034
634685,135,2015-01-20,W,3837
634686,135,2015-01-21,W,3969
634687,135,2015-01-22,W,4060
634688,135,2015-01-23,W,3431
634689,135,2015-01-26,W,4189
634690,135,2015-01-27,W,4007
634691,135,2015-01-28,W,3745
634692,135,2015-01-29,W,3665
634693,135,2015-01-30,W,3406
634694,136,2015-01-02,W,891
634695,136,2015-01-05,W,2183
634696,136,2015-01-06,W,2050
634697,136,2015-01-07,W,1556
634698,136,2015-01-08,W,1736
634699,136,2015-01-09,W,1638
634700,136,2015-01-12,W,1972
634701,136,2015-01-13,W,2012
634702,136,2015-01-14,W,2052
634703,136,2015-01-15,W,2227
634704,136,2015-01-16,W,1746
634705,136,2015-01-19,W,1190
634706,136,2015-01-20,W,2253
634707,136,2015-01-21,W,2148
634708,136,2015-01-22,W,2014
634709,136,2015-01-23,W,1904
634710,136,2015-01-26,W,2074
634711,136,2015-01-27,W,2065
634712,136,2015-01-28,W,2124
634713,136,2015-01-29,W,2001
634714,136,2015-01-30,W,1842
634715,143,2015-01-02,W,903
634716,143,2015-01-05,W,2073
634717,143,2015-01-06,W,2119
634718,143,2015-01-07,W,1619
634719,143,2015-01-08,W,1880
634720,143,2015-01-09,W,1874
634721,143,2015-01-12,W,1967
634722,143,2015-01-13,W,2127
634723,143,2015-01-14,W,2042
634724,143,2015-01-15,W,2084
634725,143,2015-01-16,W,1800
634726,143,2015-01-19,W,1092
634727,143,2015-01-20,W,1982
634728,143,2015-01-21,W,2018
634729,143,2015-01-22,W,1957
634730,143,2015-01-23,W,1928
634731,143,2015-01-26,W,2071
634732,143,2015-01-27,W,1956
634733,143,2015-01-28,W,2073
634734,143,2015-01-29,W,1958
634735,143,2015-01-30,W,1827
634736,146,2015-01-01,U,6317
634737,146,2015-01-02,W,12410
634738,146,2015-01-03,A,9119
634739,146,2015-01-04,U,6843
634740,146,2015-01-05,W,11512
634741,146,2015-01-06,W,11543
634742,146,2015-01-07,W,9668
634743,146,2015-01-08,W,10316
634744,146,2015-01-09,W,11319
634745,146,2015-01-10,A,8629
634746,146,2015-01-11,U,7016
634747,146,2015-01-12,W,12731
634748,146,2015-01-13,W,13238
634749,146,2015-01-14,W,12783
634750,146,2015-01-15,W,13029
634751,146,2015-01-16,W,13030
634752,146,2015-01-17,A,11751
634753,146,2015-01-18,U,9760
634754,146,2015-01-19,W,12722
634755,146,2015-01-20,W,12742
634756,146,2015-01-21,W,12688
634757,146,2015-01-22,W,12400
634758,146,2015-01-23,W,13177
634759,146,2015-01-24,A,12499
634760,146,2015-01-25,U,7122
634761,146,2015-01-26,W,12461
634762,146,2015-01-27,W,12587
634763,146,2015-01-28,W,12520
634764,146,2015-01-29,W,12619
634765,146,2015-01-30,W,12797
634766,146,2015-01-31,A,10806
634767,147,2015-01-01,U,5297
634768,147,2015-01-02,W,11391
634769,147,2015-01-03,A,8118
634770,147,2015-01-04,U,5690
