,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
35338,08/01/2011,Completed - Dup,08/15/2011,11-03499896,Street Light - 1/Out,5514 S OAKLEY AVE,60636.0,1162060.52229408,1867946.366815,16.0,8.0,63.0,41.79330817730808,-87.6812753003684,"(41.79330817730808,-87.68127530036841)",2011-08-01
35339,08/01/2011,Completed - Dup,08/15/2011,11-03501589,Street Light - 1/Out,4743 N LOTUS AVE,60630.0,1139147.07007215,1930958.82640405,45.0,16.0,15.0,41.966668767496536,-87.76376464140722,"(41.96666876749654,-87.76376464140722)",2011-08-01
35340,08/01/2011,Completed - Dup,08/15/2011,11-03508456,Street Light - 1/Out,1940 N BISSELL ST,60614.0,1169658.02990714,1913024.66001852,43.0,18.0,7.0,41.916845283996814,-87.65210452045973,"(41.916845283996814,-87.65210452045974)",2011-08-01
35341,08/01/2011,Completed - Dup,08/15/2011,11-03508476,Street Light - 1/Out,1934 N BISSELL ST,60614.0,1169659.72990714,1912977.26001852,43.0,18.0,7.0,41.916715178788365,-87.65209965802246,"(41.916715178788365,-87.65209965802246)",2011-08-01
35342,08/01/2011,Completed - Dup,08/16/2011,11-03506253,Street Light - 1/Out,1428 W ESTES AVE,60626.0,1165417.40997141,1947503.53067713,49.0,24.0,1.0,42.011548046696895,-87.66669887646763,"(42.011548046696895,-87.66669887646763)",2011-08-01
35343,08/01/2011,Completed - Dup,08/17/2011,11-03501931,Street Light - 1/Out,5400 N DAMEN AVE,60625.0,1162023.1884301,1935860.11863243,40.0,20.0,4.0,41.97967001077536,-87.6795147693911,"(41.97967001077536,-87.67951476939109)",2011-08-01
35344,08/01/2011,Completed - Dup,08/17/2011,11-03505241,Street Light - 1/Out,1502 W BRYN MAWR AVE,60660.0,1165258.9840301,1937284.59347638,48.0,20.0,77.0,41.98351042375597,-87.66757413274901,"(41.98351042375597,-87.667574132749)",2011-08-01
35345,08/01/2011,Completed - Dup,08/17/2011,11-03508112,Street Light - 1/Out,9645 S BRENNAN AVE,60617.0,1193221.73313108,1841534.77983408,7.0,4.0,51.0,41.720127280143345,-87.5678732582584,"(41.72012728014334,-87.5678732582584)",2011-08-01
35346,08/01/2011,Completed - Dup,08/18/2011,11-03508769,Street Light - 1/Out,11325 S EMERALD AVE,60628.0,1173340.42372848,1829759.13169924,34.0,22.0,49.0,41.6882751551312,-87.64103950720317,"(41.688275155131194,-87.64103950720317)",2011-08-01
35347,08/01/2011,Completed - Dup,08/19/2011,11-03500768,Street Light - 1/Out,8019 S SAGINAW AVE,60617.0,1195237.30089515,1852309.96677799,7.0,4.0,46.0,41.74964589633692,-87.56013635488529,"(41.749645896336915,-87.56013635488529)",2011-08-01
